Frequency (Hz)	Level (dB)
93.750000	-47.014500
187.500000	-47.266251
281.250000	-52.328503
375.000000	-52.761063
468.750000	-49.454903
562.500000	-48.437782
656.250000	-51.384369
750.000000	-51.568863
843.750000	-45.597893
937.500000	-44.334049
1031.250000	-42.202888
1125.000000	-41.403625
1218.750000	-41.648403
1312.500000	-41.308559
1406.250000	-44.597473
1500.000000	-47.143490
1593.750000	-48.860989
1687.500000	-53.057537
1781.250000	-53.446186
1875.000000	-54.357426
1968.750000	-52.037865
2062.500000	-47.701931
2156.250000	-46.913353
2250.000000	-47.170387
2343.750000	-46.295593
2437.500000	-45.413933
2531.250000	-45.463341
2625.000000	-42.125179
2718.750000	-38.877602
2812.500000	-38.431576
2906.250000	-37.988834
3000.000000	-37.430256
3093.750000	-37.579700
3187.500000	-36.951180
3281.250000	-35.438225
3375.000000	-34.600868
3468.750000	-34.724319
3562.500000	-34.591084
3656.250000	-33.852406
3750.000000	-32.949215
3843.750000	-32.084679
3937.500000	-31.227503
4031.250000	-30.368540
4125.000000	-29.689741
4218.750000	-29.144573
4312.500000	-28.564970
4406.250000	-28.161669
4500.000000	-28.473694
4593.750000	-29.602209
4687.500000	-30.964457
4781.250000	-33.386303
4875.000000	-39.256779
4968.750000	-44.541149
5062.500000	-37.460724
5156.250000	-34.166290
5250.000000	-32.911339
5343.750000	-33.375370
5437.500000	-34.957008
5531.250000	-35.171986
5625.000000	-35.053452
5718.750000	-35.238697
5812.500000	-35.918518
5906.250000	-37.226746
6000.000000	-39.011662
6093.750000	-40.805294
6187.500000	-42.742916
6281.250000	-45.791431
6375.000000	-50.853058
6468.750000	-57.553398
6562.500000	-61.669846
6656.250000	-63.149826
6750.000000	-63.790123
6843.750000	-64.415886
6937.500000	-64.983040
7031.250000	-64.909241
7125.000000	-64.793175
7218.750000	-65.148369
7312.500000	-66.097481
7406.250000	-67.522507
7500.000000	-69.169434
7593.750000	-70.426216
7687.500000	-70.562881
7781.250000	-69.685951
7875.000000	-68.536247
7968.750000	-67.594414
8062.500000	-67.032112
8156.250000	-66.895302
8250.000000	-67.193970
8343.750000	-67.952133
8437.500000	-69.239777
8531.250000	-71.146645
8625.000000	-73.657143
8718.750000	-76.092667
8812.500000	-76.062157
8906.250000	-73.631531
9000.000000	-71.251556
9093.750000	-69.605949
9187.500000	-68.722992
9281.250000	-68.423950
9375.000000	-68.576622
9468.750000	-69.397926
9562.500000	-71.020706
9656.250000	-73.309029
9750.000000	-75.821938
9843.750000	-77.400894
9937.500000	-76.923233
10031.250000	-74.748100
10125.000000	-72.393501
10218.750000	-70.567612
10312.500000	-69.329773
10406.250000	-68.741562
10500.000000	-68.844147
10593.750000	-69.761055
10687.500000	-71.800369
10781.250000	-75.786789
10875.000000	-85.572479
10968.750000	-81.261856
11062.500000	-73.588127
11156.250000	-69.818039
11250.000000	-67.528526
11343.750000	-65.975723
11437.500000	-64.872841
11531.250000	-64.189278
11625.000000	-63.957333
11718.750000	-64.173492
11812.500000	-64.873154
11906.250000	-66.138824
12000.000000	-68.160187
